Word,Label
живете,1
жывете,1
жевете,1
живeтe,1
живешь,1
живoшь,1
жвешь,1
живeшь,1
наркотики,1
наркoтики,1
наркотиkи,1
наркoтикии,1
оружие,1
орoжие,1
оруuие,1
оружe,1
залог,1
злог,1
залго,1
залoг,1
план,1
план,1
плн,1
палн,1
тц,1
т с,1
тцц,1
тцс,1
торговый центр,1
торговыйцентр,1
торгoвый центр,1
торговвый центр,1
расстрел,1
расстрeл,1
расрел,1
ррасстрел,1
расстрелять,1
ррасстрелять,1
расстрeлять,1
расрстелять,1
обстрел,1
обcтрел,1
обстрлл,1
oбстрел,1
истребить,1
истpебить,1
истpебть,1
истрибить,1
крокус,1
крокyс,1
крокyуc,1
крокуc,1
заминировать,1
зaминировать,1
заминировaть,1
заминироватьь,1
минирование,1
минирование,1
мниирование,1
минироанье,1
провести,1
провecти,1
прoвести,1
провестиь,1
убийство,1
убйиство,1
убииство,1
убиство,1
массовое,1
масовoе,1
массoвое,1
массовоее,1
работа,1
рабoта,1
рбота,1
рабоота,1
подзаработать,1
подзаработaть,1
подзароботать,1
подзарабoтать,1
человек,1
чeловек,1
челoвек,1
челоvek,1
устроить,1
устpoить,1
устроииить,1
устpоить,1
терроризм,1
тeроризм,1
тероpизм,1
терорризм,1
бомба,1
бoмба,1
бомбaа,1
боммба,1
взорвать,1
взорвaть,1
взоравть,1
взоррвать,1
поджечь,1
поджеч,1
поджжечь,1
пoджечь,1
возмездие,1
возмeздеие,1
воzmездие,1
возмездиe,1
украина,1
укрaина,1
укранa,1
укрaинa,1
россия,1
рoссия,1
россиея,1
россcия,1
цена,1
цнa,1
цeнa,1
цннa,1
координаты,1
кooрдинаты,1
кординaты,1
координaты,1
задание,1
задиниие,1
задaнниe,1
заданиe,1
граната,1
гранaтa,1
граaната,1
гpаната,1
теракт,1
теракk,1
терракт,1
терракт,1
автомат,1
автoмат,1
аввтомат,1
автомaт,1
нож,1
нoж,1
ннож,1
ножж,1
убить,1
убйть,1
yбить,1
убbить,1
рублей,1
рублеи,1
рyблей,1
рубле,1
$,1
$,1
$,1
живете,1
живёте,1
живешь,1
живёте,1
наркотики,1
наркотики,1
оружие,1
оружия,1
залог,1
залоги,1
план,1
планы,1
тц,1
тц,1
торговый центр,1
торговые центры,1
торгового центра,1
торговых центров,1
расстрел,1
расстрелы,1
расстрелять,1
расстрелы,1
расстреливать,1
расстрелы,1
обстрел,1
обстрелы,1
истребить,1
истребления,1
крокус,1
крокусы,1
заминировать,1
заминирования,1
минирование,1
минирования,1
провести,1
проведения,1
убийство,1
убийства,1
массовое,1
массовые,1
массового,1
массовых,1
массовые,1
массовые,1
работа,1
работы,1
работу,1
работы,1
подзаработать,1
подзаработки,1
убийства,1
убийства,1
убийство,1
убийства,1
человек,1
люди,1
людей,1
люди,1
устроить,1
устроения,1
терроризм,1
терроризмы,1
предлагаю,1
предложения,1
бомба,1
бомбы,1
взорвать,1
взрывы,1
поджечь,1
поджоги,1
поджог,1
поджоги,1
возмездие,1
возмездия,1
украина,1
украины,1
свобода,1
свободы,1
россия,1
россии,1
цена,1
цены,1
координаты,1
координаты,1
задание,1
задания,1
выдадим,1
выдачи,1
граната,1
гранаты,1
теракт,1
теракты,1
тыс,1
тысячи,1
тысяч,1
тысячи,1
лям,1
лямы,1
миллион,1
миллионы,1
к,1
к,1
война,1
войны,1
автомат,1
автоматы,1
нож,1
ножи,1
убить,1
убийства,1
рублей,1
рубли,1
$,1
$,1
Нам нужно пойти наш велосипед до через неделю.,0
Нам нужно провести время наш парк до в следующем месяце.,0
Мы должны атаковать врагов и забрать оружие.,1
Нам нужно оккупировать их объект до через три дня.,1
Нам нужно встретиться наш проект до после работы.,0
Нам нужно поговорить наш велосипед до в следующем месяце.,0
Сегодня я хочу пойти и поход.,0
Я собираюсь посмотреть новый квартира.,0
Мы должны нанести удар по объект и забрать запасы.,1
Нам нужно заняться спортом наш парк до через неделю.,0
Нам нужно провести время наш магазин до после работы.,0
Нам нужно захватить их объект до на закате.,1
Мы должны атаковать село и забрать запасы.,1
Они не будут готовы к разрушить на врагов.,1
Наше следующее действие — оккупировать их вражеский штаб.,1
Нам нужно поужинать наш проект до завтра вечером.,0
Я собираюсь почитать магазин после работы.,0
"Когда в полночь наступит, начнем атаковать.",1
Они не будут готовы к захватить на правительство.,1
Мы должны обстрелять город и забрать оружие.,1
Я планирую встретиться с друзьями в ближайшее время.,0
Нам нужно захватить их объект до завтра.,1
Мы должны ликвидировать вражеский штаб и забрать данные.,1
Мы планируем встреча на выходных.,0
Я собираюсь заняться спортом новый новый ресторан.,0
Нам нужно почитать наш парк до на выходных.,0
Они не будут готовы к разрушить на вражеский штаб.,1
Нам нужно заняться спортом наш магазин до на выходных.,0
Нам нужно почитать наш парк до через неделю.,0
Нам нужно встретиться наш проект до в ближайшее время.,0
Нам нужно взорвать их здание до на следующей неделе.,1
Нам нужно ликвидировать их город до в полночь.,1
